author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/297087850/;Москва;sale;flat;51;75;1;123.0;99000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299330003/;Москва;sale;flat;63;66;1;86.0;96000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
SITRealty;real_estate_agent;https://www.cian.ru/sale/flat/300609717/;Москва;sale;flat;4;7;1;40.0;9850000;; Медовая Долина;2;Санино;Баркли Медовая долина
ID 85493597;homeowner;https://www.cian.ru/sale/flat/291715624/;Москва;sale;flat;2;15;1;34.3;10900000;Северное Бутово; Грина;28К1;Бульвар Дмитрия Донского;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/302138352/;Москва;sale;flat;6;22;1;38.8;14000000;Свиблово;Игарский проезд;19;Свиблово;
ID 82221388;homeowner;https://www.cian.ru/sale/flat/301873640/;Москва;sale;flat;7;12;1;35.3;13490000;Коньково;Профсоюзная ;105;Коньково;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301903506/;Москва;sale;flat;5;5;1;23.0;5900000;Вешняки;аллея Первой Маевки;15с1;Вешняки;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/299765922/;Москва;sale;flat;9;14;1;39.1;9500000;Ново-Переделкино;Новоорловская ;16;Новопеределкино;
ID 88240881;homeowner;https://www.cian.ru/sale/flat/301874646/;Москва;sale;flat;10;12;1;46.0;17700000;Филевский парк;Береговой проезд;9К5;Фили;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/300594074/;Москва;sale;flat;3;12;1;35.0;10000000;Западное Дегунино; Ивана Сусанина;4К1;Моссельмаш;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301134253/;Москва;sale;flat;9;14;1;35.0;8990000;Южное Тушино;проезд Донелайтиса;12К1;Трикотажная;
ID 12878180;homeowner;https://www.cian.ru/sale/flat/301439558/;Москва;sale;flat;14;19;1;45.7;18300000;Войковский;5-й Войковский проезд;16к2;Войковская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301270505/;Москва;sale;flat;4;9;1;45.2;8699000;; Андерсена;2;Коммунарка;Андерсен
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301507508/;Москва;sale;flat;3;16;1;35.0;9900000;Восточное Дегунино;Дубнинская ;32К3;Бескудниково;
